PMID,Status
26888055,ok
26360800,ok
17877814,ok
10521294,ok
23225144,ok
16014569,ok
32425970,ok
31613886,ok
21155762,ok
17447881,ok
32819855,ok
32937375,ok
28250423,ok
19370767,ok
29520894,ok
24470512,ok
17221156,ok
25435355,ok
20577208,ok
17899368,ok
10873394,ok
15929773,ok
25517749,ok
30337059,ok
28875981,ok
18559594,ok
29891518,ok
25004247,ok
17949294,ok
28580595,ok
23276700,ok
29700634,ok
17333338,ok
23960188,ok
18373402,ok
23273562,ok
18085035,status unknown
24688104,ok
31411343,ok
34070849,ok
15536480,ok
30610106,ok
10573010,ok
26659639,ok
31243857,ok
31822495,ok
33150251,captcha encountered
22729890,ok
9724087,captcha encountered
18718650,ok
29575718,ok
25504677,ok
12833420,ok
25777348,ok
7906417,ok
30872186,ok
29061375,ok
24056881,ok
23891399,ok
26625971,ok
21794948,ok
25420488,ok
16111488,ok
15580565,ok
30523342,ok
26191039,ok
16534870,captcha encountered
10571949,ok
31221207,ok
24694336,ok
10330348,ok
28135145,captcha encountered
21445611,ok
30777372,ok
19202204,status unknown
24206657,ok
31535668,captcha encountered
26690524,ok
31403082,ok
33010199,ok
31721094,ok
22250089,ok
25803691,ok
16403807,ok
15185344,ok
25330149,ok
31406247,ok
17510392,ok
28122867,ok
9311737,ok
16791840,ok
30086788,ok
25318351,ok
1379210,ok
31647837,ok
32817299,ok
27644661,status unknown
12496477,ok
27272900,ok
20233476,ok
20100616,ok
28944232,ok
32377563,ok
9856796,ok
31332305,ok
18534194,ok
28152038,ok
12734318,ok
20028993,ok
12216071,ok
2948427,ok
27601542,ok
20805886,ok
14633685,status unknown
16203774,ok
14756672,ok
26585945,ok
12885464,ok
25503501,ok
25896959,ok
30400234,ok
17968022,ok
27876123,ok
31270457,ok
15122587,ok
24763289,ok
19674077,ok
11251181,ok
26848529,ok
32980694,ok
24929235,ok
23532519,ok
30680046,ok
12872263,ok
20880762,ok
23096355,ok
11996792,ok
29580235,ok
20020535,ok
31992580,ok
23371967,ok
17376234,ok
27994516,ok
